time,price,nav
2017-01-03,672.01,28146.87
2017-01-04,674.7,28365.35
2017-01-05,675.81,28440.24
2017-01-06,679.8,28441.33
2017-01-09,682.57,28506.24
2017-01-10,681.07,28674.42
2017-01-11,687.16,28696.13
2017-01-12,686.96,28879.76
2017-01-13,685.06,28817.91
2017-01-16,677.94,28731.85
2017-01-17,684.71,28525.5
2017-01-18,683.28,28604.33
2017-01-19,682.31,28556.33
2017-01-20,686.26,28531.82
2017-01-23,687.15,28655.0
2017-01-24,691.36,28658.38
2017-01-25,697.28,28705.19
2017-02-02,703.18,28903.72
2017-02-03,700.35,29168.21
2017-02-06,700.04,29038.17
2017-02-07,701.91,29058.77
2017-02-08,702.04,29133.62
2017-02-09,700.65,29121.57
2017-02-10,703.78,29163.28
2017-02-13,705.9,29197.42
2017-02-14,706.26,29376.6
2017-02-15,711.57,29414.0
2017-02-16,709.35,29456.58
2017-02-17,707.83,29468.55
2017-02-20,710.59,29320.36
2017-02-21,716.55,29311.85
2017-02-22,717.24,29498.89
2017-02-23,716.87,29449.11
2017-02-24,714.47,29491.7
2017-02-27,717.44,29422.8
2017-02-28,710.79,29621.94
2017-03-01,709.52,29437.25
2017-03-02,707.51,29486.64
2017-03-03,712.62,29520.9
2017-03-06,716.29,29586.18
2017-03-07,716.54,29602.88
2017-03-08,716.6,29646.01
2017-03-09,715.8,29811.96
2017-03-10,712.21,29888.43
2017-03-13,710.17,29806.69
2017-03-14,714.71,29732.83
2017-03-15,713.14,29951.03
2017-03-16,714.92,29884.62
2017-03-17,710.54,29938.48
2017-03-20,715.07,29832.83
2017-03-21,716.18,30079.47
2017-03-22,712.94,30280.13
2017-03-23,719.56,30117.4
2017-03-24,722.14,30295.62
2017-03-27,723.52,30418.0
2017-03-28,719.26,30442.63
2017-03-29,720.47,30389.75
2017-03-30,723.86,30380.15
2017-03-31,722.31,30414.17
2017-04-03,722.38,30427.99
2017-04-04,724.14,30442.09
2017-04-05,723.22,30480.84
2017-04-07,727.95,30387.5
2017-04-10,729.87,30414.87
2017-04-11,731.33,30501.67
2017-04-12,725.58,30583.53
2017-04-13,724.35,30402.56
2017-04-14,718.45,30302.08
2017-04-17,710.83,30025.3
2017-04-18,714.93,29788.53
2017-04-19,716.77,29878.79
2017-04-20,712.66,30121.76
2017-04-21,712.41,30023.33
2017-04-24,709.39,30060.18
2017-04-25,707.58,30038.51
2017-04-26,710.04,29892.52
2017-04-27,716.53,30016.89
2017-04-28,717.73,30198.55
2017-05-03,719.54,30236.02
2017-05-04,722.02,30320.35
2017-05-05,720.0,30555.93
2017-05-08,718.86,30551.33
2017-05-09,722.11,30474.87
2017-05-10,724.31,30655.36
2017-05-11,724.99,30603.55
2017-05-12,725.37,30581.46
2017-05-15,725.35,30626.83
2017-05-16,725.03,30738.03
2017-05-17,727.2,30567.21
2017-05-18,726.99,30752.5
2017-05-19,733.82,30632.03
2017-05-22,744.1,30744.23
2017-05-23,740.93,30999.27
2017-05-24,742.74,30997.06
2017-05-25,741.91,31283.78
2017-05-26,743.41,31193.01
2017-05-29,746.25,31302.29
2017-05-30,738.21,31389.67
2017-05-31,737.82,31155.52
2017-06-01,741.8,31194.35
2017-06-02,738.81,31399.76
2017-06-05,743.49,31387.61
2017-06-06,751.31,31486.39
2017-06-07,753.46,31710.18
2017-06-08,750.13,31822.83
2017-06-09,749.72,31964.51
2017-06-12,751.09,31932.81
2017-06-13,756.89,31811.43
2017-06-14,760.77,31985.96
2017-06-15,760.57,32111.3
2017-06-16,761.24,32130.62
2017-06-19,766.83,32137.57
2017-06-20,767.99,32251.26
2017-06-21,767.41,32308.06
2017-06-22,766.3,32262.94
2017-06-23,769.01,32361.98
2017-06-26,772.52,32558.23
2017-06-27,767.51,32577.0
2017-06-28,769.04,32336.53
2017-06-29,771.75,32466.19
2017-06-30,776.47,32585.91
2017-07-03,778.88,32774.24
2017-07-04,775.54,32756.49
2017-07-05,778.32,32703.16
2017-07-06,782.65,32741.83
2017-07-07,775.73,32844.3
2017-07-10,766.56,32763.03
2017-07-11,769.36,32440.08
2017-07-12,774.17,32444.23
2017-07-13,778.3,32654.0
2017-07-14,777.6,32733.56
2017-07-17,768.91,32554.52
2017-07-18,767.49,32173.88
2017-07-19,771.3,32194.92
2017-07-20,768.41,32162.49
2017-07-21,761.86,32058.77
2017-07-24,759.74,31703.4
2017-07-25,767.27,31766.5
2017-07-26,773.88,32058.67
2017-07-27,771.5,32335.65
2017-07-28,777.09,32263.52
2017-07-31,783.55,32516.68
2017-08-01,786.81,32521.18
2017-08-02,786.23,32598.69
2017-08-03,788.49,32485.4
2017-08-04,788.68,32608.5
2017-08-07,792.98,32804.02
2017-08-08,791.57,32989.3
2017-08-09,773.66,32766.79
2017-08-10,773.43,32336.12
2017-08-11,772.08,32678.14
2017-08-14,776.17,32706.16
2017-08-15,771.06,32953.51
2017-08-16,773.57,32882.22
2017-08-17,767.59,32985.55
2017-08-18,768.97,32740.25
2017-08-21,768.79,32672.2
2017-08-22,761.26,32635.14
2017-08-23,765.98,32441.39
2017-08-24,769.77,32474.12
2017-08-25,771.63,32631.07
2017-08-28,777.26,32649.78
2017-08-29,774.03,32815.85
2017-08-30,778.65,32790.49
2017-08-31,782.76,32930.22
2017-09-01,788.73,32994.92
2017-09-05,792.31,33122.33
2017-09-06,793.55,33138.49
2017-09-07,796.72,33177.12
2017-09-08,801.2,33214.76
2017-09-11,797.47,33243.12
2017-09-12,799.94,33021.69
2017-09-13,802.78,33192.91
2017-09-14,806.32,33566.32
2017-09-15,805.82,33534.73
2017-09-18,807.87,33564.98
2017-09-19,805.93,33649.01
2017-09-20,805.86,33683.06
2017-09-21,803.93,33787.85
2017-09-22,807.13,33827.54
2017-09-25,805.58,34074.72
2017-09-26,805.35,34129.03
2017-09-27,803.77,34201.07
2017-09-28,804.82,33969.64
2017-09-29,804.42,34075.98
2017-10-02,802.23,34215.69
2017-10-03,798.0,34165.18
2017-10-04,805.66,34042.3
2017-10-05,805.23,34507.35
2017-10-06,807.8,34344.5
2017-10-09,808.96,34494.81
2017-10-10,810.65,34662.32
2017-10-11,813.95,34961.96
2017-10-12,815.87,35024.02
