time,VNINDEX,E1VFVN30
2014-10-06,614.42,10.4
2014-10-07,614.08,10.3
2014-10-08,617.26,10.3
2014-10-09,624.34,10.2
2014-10-10,617.72,9.9
2014-10-13,614.22,9.9
2014-10-14,605.79,9.9
2014-10-15,604.29,9.9
2014-10-16,587.17,9.6
2014-10-17,585.28,9.7
2014-10-20,589.24,9.8
2014-10-21,600.55,9.9
2014-10-22,601.59,9.8
2014-10-23,593.53,9.8
2014-10-24,591.51,9.7
2014-10-27,580.8,9.6
2014-10-28,583.13,9.5
2014-10-29,591.2,9.8
2014-10-30,589.14,9.7
2014-10-31,600.84,9.9
2014-11-03,603.15,10.1
2014-11-04,598.39,10.1
2014-11-05,597.01,10.0
2014-11-06,597.85,9.8
2014-11-07,602.59,9.8
2014-11-10,602.12,9.9
2014-11-11,604.23,10.0
2014-11-12,604.01,9.9
2014-11-13,603.16,10.0
2014-11-14,600.36,9.9
2014-11-17,600.93,9.9
2014-11-18,594.25,9.9
2014-11-19,588.35,9.8
2014-11-20,593.32,9.9
2014-11-21,588.03,9.6
2014-11-24,582.53,9.5
2014-11-25,585.91,9.7
2014-11-26,576.04,9.5
2014-11-27,572.89,9.5
2014-11-28,566.58,9.5
2014-12-01,568.01,9.7
2014-12-02,569.43,9.5
2014-12-03,574.88,9.6
2014-12-04,578.38,9.7
2014-12-05,578.76,9.7
2014-12-08,571.68,9.6
2014-12-09,555.31,9.4
2014-12-10,557.19,9.5
2014-12-11,550.11,9.5
2014-12-12,553.93,9.5
2014-12-15,547.93,9.5
2014-12-16,535.14,9.3
2014-12-17,518.22,8.9
2014-12-18,528.45,9.0
2014-12-19,523.09,9.0
2014-12-22,537.54,9.2
2014-12-23,537.88,9.1
2014-12-24,539.44,9.1
2014-12-25,532.01,9.1
2014-12-26,533.37,9.2
2014-12-29,532.68,9.2
2014-12-30,537.57,9.3
2014-12-31,545.63,9.4
2015-01-05,544.45,9.4
2015-01-06,549.66,9.4
2015-01-07,552.05,9.4
2015-01-08,553.47,9.3
2015-01-09,569.73,9.5
2015-01-12,574.32,9.6
2015-01-13,580.6,9.6
2015-01-14,577.01,9.6
2015-01-15,577.74,9.5
2015-01-16,574.81,9.5
2015-01-19,571.51,9.5
2015-01-20,572.22,9.4
2015-01-21,569.12,9.4
2015-01-22,574.54,9.4
2015-01-23,582.38,9.5
2015-01-26,580.64,9.5
2015-01-27,579.3,9.5
2015-01-28,583.76,9.5
2015-01-29,583.28,9.5
2015-01-30,576.07,9.5
2015-02-02,570.37,9.3
2015-02-03,557.47,9.3
2015-02-04,561.45,9.3
2015-02-05,567.17,9.2
2015-02-06,574.13,9.2
2015-02-09,573.55,9.3
2015-02-10,574.52,9.2
2015-02-11,581.76,9.3
2015-02-12,584.67,9.4
2015-02-13,587.24,9.5
2015-02-24,596.95,9.5
2015-02-25,592.66,9.6
2015-02-26,596.72,9.5
2015-02-27,592.57,9.5
2015-03-02,590.73,9.5
2015-03-03,596.72,9.6
2015-03-04,600.39,9.6
2015-03-05,596.91,9.6
2015-03-06,593.97,9.7
2015-03-09,588.44,9.6
2015-03-10,589.66,9.6
2015-03-11,586.54,9.5
2015-03-12,588.53,9.5
2015-03-13,586.1,9.5
2015-03-16,580.8,9.4
2015-03-17,581.76,9.4
2015-03-18,578.68,9.4
2015-03-19,573.74,9.3
2015-03-20,575.44,9.3
2015-03-23,570.89,9.4
2015-03-24,567.43,9.3
2015-03-25,560.93,9.2
2015-03-26,556.16,9.2
2015-03-27,551.42,9.3
2015-03-30,545.19,9.0
2015-03-31,551.13,9.2
2015-04-01,538.91,8.9
2015-04-02,546.85,9.0
2015-04-03,547.85,9.0
2015-04-06,542.97,8.9
2015-04-07,548.11,9.0
2015-04-08,547.72,8.9
2015-04-09,550.52,9.0
2015-04-10,554.03,9.1
2015-04-13,559.54,9.0
2015-04-14,558.67,9.0
2015-04-15,564.5,9.1
2015-04-16,568.28,9.2
2015-04-17,568.32,9.3
2015-04-20,565.04,9.2
2015-04-21,562.24,9.1
2015-04-22,562.51,9.1
2015-04-23,561.25,9.1
2015-04-24,565.77,9.1
2015-04-27,562.4,9.1
2015-05-04,545.08,9.0
2015-05-05,552.65,8.9
2015-05-06,549.3,8.9
2015-05-07,552.98,9.0
2015-05-08,554.51,8.9
2015-05-11,551.67,9.0
2015-05-12,544.41,8.8
2015-05-13,542.82,8.8
2015-05-14,543.69,8.9
2015-05-15,537.44,8.7
2015-05-18,528.95,8.7
2015-05-19,536.82,8.7
2015-05-20,550.1,8.8
2015-05-21,552.56,8.8
2015-05-22,561.82,9.1
2015-05-25,563.0,9.0
2015-05-26,567.2,9.1
2015-05-27,566.48,9.1
2015-05-28,572.97,9.1
2015-05-29,569.56,9.1
2015-06-01,574.98,9.1
2015-06-02,570.31,9.1
2015-06-03,567.9,9.0
2015-06-04,568.99,9.0
2015-06-05,578.07,9.1
2015-06-08,579.83,9.1
2015-06-09,574.47,9.1
2015-06-10,574.1,9.0
2015-06-11,581.05,9.2
2015-06-12,582.73,9.2
2015-06-15,586.48,9.3
2015-06-16,580.35,9.3
2015-06-17,578.87,9.2
2015-06-18,580.35,9.2
2015-06-19,584.7,9.3
2015-06-22,594.08,9.4
2015-06-23,593.07,9.4
2015-06-24,590.02,9.4
2015-06-25,587.99,9.4
2015-06-26,581.75,9.5
2015-06-29,591.75,9.6
2015-06-30,593.05,9.7
2015-07-01,591.5,9.6
2015-07-02,605.7,9.7
2015-07-03,616.43,9.8
2015-07-06,625.22,10.1
2015-07-07,630.27,10.0
2015-07-08,623.17,10.0
2015-07-09,622.1,10.0
2015-07-10,627.28,10.1
2015-07-13,634.06,10.0
2015-07-14,638.69,10.1
2015-07-15,630.89,10.1
2015-07-16,626.9,10.1
2015-07-17,628.63,10.1
2015-07-20,620.54,10.0
2015-07-21,616.61,10.0
2015-07-22,629.85,10.1
2015-07-23,632.01,10.1
2015-07-24,631.26,10.1
2015-07-27,635.46,10.2
2015-07-28,631.47,10.3
2015-07-29,624.7,10.3
2015-07-30,626.57,10.3
2015-07-31,621.06,10.3
2015-08-03,609.47,10.1
2015-08-04,600.76,10.0
2015-08-05,607.08,10.0
2015-08-06,601.04,10.0
2015-08-07,603.76,10.0
2015-08-10,614.53,10.2
2015-08-11,613.05,10.2
2015-08-12,604.24,10.1
2015-08-13,594.26,9.9
2015-08-14,589.03,9.9
2015-08-17,573.15,9.7
2015-08-18,580.22,9.6
2015-08-19,577.82,9.5
2015-08-20,566.69,9.5
2015-08-21,556.3,9.3
2015-08-24,526.93,8.9
2015-08-25,529.98,8.9
2015-08-26,545.89,9.1
2015-08-27,555.81,9.3
2015-08-28,570.87,9.9
2015-08-31,564.75,9.4
2015-09-01,562.31,9.3
2015-09-03,554.3,9.1
2015-09-04,556.81,9.1
2015-09-07,554.93,9.1
2015-09-08,566.72,9.3
2015-09-09,572.34,9.3
2015-09-10,572.07,9.3
2015-09-11,566.74,9.2
2015-09-14,562.17,9.3
2015-09-15,563.27,9.1
2015-09-16,564.13,9.1
2015-09-17,562.48,9.2
2015-09-18,566.25,9.3
2015-09-21,572.12,9.4
2015-09-22,573.2,9.4
2015-09-23,572.72,9.4
2015-09-24,570.25,9.3
2015-09-25,570.38,9.3
2015-09-28,564.88,9.3
2015-09-29,561.19,9.2
2015-09-30,562.64,9.5
2015-10-01,563.54,9.3
2015-10-02,562.31,9.3
2015-10-05,570.0,9.3
2015-10-06,581.29,9.4
2015-10-07,579.57,9.4
2015-10-08,586.78,9.6
2015-10-09,588.02,9.6
2015-10-12,592.1,9.7
2015-10-13,590.84,9.6
2015-10-14,589.98,9.5
2015-10-15,592.4,9.5
2015-10-16,593.02,9.6
2015-10-19,594.61,9.7
2015-10-20,590.45,9.6
2015-10-21,590.24,9.7
2015-10-22,595.08,9.7
2015-10-23,601.74,9.8
2015-10-26,598.61,9.8
2015-10-27,598.44,9.7
2015-10-28,596.24,9.7
2015-10-29,605.2,9.8
2015-10-30,607.37,9.8
2015-11-02,602.76,9.7
2015-11-03,611.71,9.9
2015-11-04,610.6,9.9
2015-11-05,615.18,9.9
2015-11-06,612.36,9.9
2015-11-09,610.66,9.9
2015-11-10,605.27,9.9
2015-11-11,603.53,9.8
2015-11-12,605.58,9.7
2015-11-13,611.27,9.8
2015-11-16,609.21,9.9
2015-11-17,605.05,9.8
2015-11-18,603.34,9.8
2015-11-19,601.9,9.7
2015-11-20,604.46,9.7
2015-11-23,599.99,9.7
2015-11-24,593.83,9.5
2015-11-25,595.7,9.7
2015-11-26,590.4,9.7
2015-11-27,582.86,9.4
2015-11-30,573.2,9.4
2015-12-01,570.41,9.4
2015-12-02,574.42,9.3
2015-12-03,574.38,9.4
2015-12-04,571.62,9.3
2015-12-07,563.62,9.3
2015-12-08,574.15,9.3
