time,VNINDEX,FUESSVFL
2020-03-18,747.66,9.99
2020-03-19,725.94,10.6
2020-03-20,709.73,11.34
2020-03-23,666.59,11.2
2020-03-24,659.21,10.42
2020-03-25,690.25,9.7
2020-03-26,694.21,9.7
2020-03-27,696.06,9.7
2020-03-30,662.26,9.65
2020-03-31,662.53,8.98
2020-04-01,680.23,8.36
2020-04-03,701.8,7.78
2020-04-06,736.75,7.81
2020-04-07,746.69,7.77
2020-04-08,748.02,7.79
2020-04-09,760.33,7.93
2020-04-10,757.94,7.92
2020-04-13,765.79,8.08
2020-04-14,767.41,7.96
2020-04-15,777.22,8.24
2020-04-16,780.7,8.22
2020-04-17,789.6,8.41
2020-04-20,794.97,8.37
2020-04-21,766.84,7.94
2020-04-22,768.92,8.07
2020-04-23,773.91,8.07
2020-04-24,776.66,7.93
2020-04-27,770.77,8.06
2020-04-28,767.21,7.97
2020-04-29,769.11,8.0
2020-05-04,762.47,7.93
2020-05-05,764.16,8.04
2020-05-06,782.59,8.09
2020-05-07,796.54,8.2
2020-05-08,813.73,8.57
2020-05-11,828.33,8.86
2020-05-12,835.32,8.89
2020-05-13,834.21,9.0
2020-05-14,832.4,9.01
2020-05-15,827.03,8.86
2020-05-18,837.01,9.05
2020-05-19,845.92,9.24
2020-05-20,852.91,9.18
2020-05-21,862.73,9.27
2020-05-22,852.74,9.32
2020-05-25,859.04,9.31
2020-05-26,869.13,9.36
2020-05-27,857.48,9.39
2020-05-28,861.39,9.3
2020-05-29,864.47,9.28
2020-06-01,878.67,9.58
2020-06-02,874.8,9.65
2020-06-03,881.17,9.74
2020-06-04,883.9,9.8
2020-06-05,886.22,9.71
2020-06-08,899.92,9.89
2020-06-09,899.43,9.85
2020-06-10,900.0,9.5
2020-06-11,867.37,9.7
2020-06-12,863.52,9.56
2020-06-15,832.47,9.35
2020-06-16,856.13,9.45
2020-06-17,854.44,9.37
2020-06-18,855.27,9.41
2020-06-19,868.56,9.45
2020-06-22,871.28,9.55
2020-06-23,868.2,9.5
2020-06-24,859.71,9.4
2020-06-25,854.59,9.3
2020-06-26,851.98,9.25
2020-06-29,829.36,9.01
2020-06-30,825.11,8.95
2020-07-01,843.49,9.08
2020-07-02,842.38,9.06
2020-07-03,847.61,9.08
2020-07-06,861.16,9.27
2020-07-07,863.42,9.32
2020-07-08,864.5,9.28
2020-07-09,876.46,9.5
2020-07-10,871.21,9.44
2020-07-13,868.72,9.42
2020-07-14,868.11,9.42
2020-07-15,869.91,9.47
2020-07-16,876.83,9.47
2020-07-17,872.02,9.5
2020-07-20,861.4,9.42
2020-07-21,861.69,9.33
2020-07-22,855.08,9.38
2020-07-23,856.75,9.27
2020-07-24,829.16,9.08
2020-07-27,785.17,8.7
2020-07-28,813.36,8.85
2020-07-29,790.84,8.52
2020-07-30,801.13,8.56
2020-07-31,798.39,8.57
2020-08-03,814.65,8.63
2020-08-04,827.57,8.8
2020-08-05,837.8,9.05
2020-08-06,840.04,9.02
2020-08-07,841.46,9.0
2020-08-10,843.2,9.07
2020-08-11,843.08,9.09
2020-08-12,846.92,9.18
2020-08-13,855.05,9.27
2020-08-14,850.74,9.22
2020-08-17,850.15,9.24
2020-08-18,846.43,9.22
2020-08-19,851.21,9.23
2020-08-20,848.21,9.16
2020-08-21,854.78,9.31
2020-08-24,868.68,9.64
2020-08-25,874.12,9.68
2020-08-26,873.47,9.6
2020-08-27,874.71,9.65
2020-08-28,878.98,9.75
2020-08-31,881.65,9.75
2020-09-01,891.73,9.82
2020-09-03,903.97,9.9
2020-09-04,901.54,9.86
2020-09-07,888.25,9.72
2020-09-08,890.14,9.71
2020-09-09,889.32,9.71
2020-09-10,888.82,9.72
2020-09-11,888.97,9.74
2020-09-14,894.57,9.72
2020-09-15,896.26,9.75
2020-09-16,897.47,9.75
2020-09-17,894.04,9.7
2020-09-18,900.95,9.9
2020-09-21,907.94,9.99
2020-09-22,906.19,10.03
2020-09-23,912.5,10.19
2020-09-24,908.58,10.14
2020-09-25,908.27,10.15
2020-09-28,912.5,10.41
2020-09-29,903.98,10.35
2020-09-30,905.21,10.38
2020-10-01,914.09,10.4
2020-10-02,909.91,10.33
2020-10-05,914.68,10.44
2020-10-06,915.67,10.49
2020-10-07,919.72,10.5
2020-10-08,918.84,10.32
2020-10-09,924.0,10.39
2020-10-12,925.83,10.45
