time,price,nav
2018-01-03,1005.67,19945.97
2018-01-04,1019.75,19945.97
2018-01-05,1012.65,19945.97
2018-01-08,1022.9,19945.97
2018-01-09,1033.56,19945.97
2018-01-10,1038.11,20266.79
2018-01-11,1048.17,20266.79
2018-01-12,1050.11,20266.79
2018-01-15,1063.47,20266.79
2018-01-16,1062.96,20266.79
2018-01-17,1034.69,20385.78
2018-01-18,1050.25,20385.78
2018-01-19,1062.07,20385.78
2018-01-22,1087.42,20385.78
2018-01-25,1104.57,20385.78
2018-01-26,1115.64,20385.78
2018-01-29,1109.8,20385.78
2018-01-30,1110.56,20385.78
2018-01-31,1110.36,20545.95
2018-01-31,1110.36,20367.89
2018-02-01,1099.67,20367.89
2018-02-02,1105.04,20367.89
2018-02-05,1048.71,20367.89
2018-02-06,1011.6,20367.89
2018-02-07,1040.55,19163.44
2018-02-08,1023.25,19163.44
2018-02-09,1003.94,19163.44
2018-02-12,1041.79,19163.44
2018-02-13,1059.73,19163.44
2018-02-21,1087.15,20072.22
2018-02-22,1076.03,20072.22
2018-02-23,1102.85,20072.22
2018-02-26,1114.53,20072.22
2018-02-27,1119.61,20072.22
2018-02-28,1121.54,20461.16
2018-02-28,1121.54,20538.71
2018-03-01,1115.79,20538.71
2018-03-02,1121.21,20538.71
2018-03-05,1093.48,20538.71
2018-03-06,1120.29,20538.71
2018-03-07,1112.26,20771.88
2018-03-08,1124.15,20771.88
2018-03-09,1123.41,20771.88
2018-03-12,1126.29,20771.88
2018-03-13,1133.31,20771.88
2018-03-14,1138.09,21079.59
2018-03-15,1138.76,21079.59
2018-03-16,1150.19,21079.59
2018-03-19,1159.22,21079.59
2018-03-20,1159.39,21079.59
2018-03-21,1169.36,21133.94
2018-03-22,1172.36,21133.94
2018-03-23,1153.59,21133.94
2018-03-26,1171.22,21133.94
2018-03-27,1171.73,21133.94
2018-03-28,1172.24,21070.24
2018-03-29,1167.03,21070.24
2018-03-30,1174.46,21070.24
2018-04-02,1196.61,21070.24
2018-04-03,1188.29,21070.24
2018-04-04,1191.54,20970.26
2018-04-05,1193.17,20970.26
2018-04-06,1199.96,20970.26
2018-04-09,1204.33,20970.26
2018-04-10,1198.12,20970.26
2018-04-11,1167.11,20993.5
2018-04-12,1173.02,20993.5
2018-04-13,1157.14,20993.5
2018-04-16,1148.49,20993.5
2018-04-17,1153.28,20993.5
2018-04-18,1138.53,20571.83
2018-04-19,1094.63,20571.83
2018-04-20,1119.86,20571.83
2018-04-23,1076.78,20571.83
2018-04-24,1080.74,20571.83
2018-04-26,1044.86,19685.92
2018-04-27,1050.26,19685.92
2018-05-02,1029.08,19609.58
2018-05-03,1026.46,19609.58
2018-05-04,1026.8,19609.58
2018-05-07,1062.26,19609.58
2018-05-08,1060.45,19609.58
2018-05-09,1056.97,19669.27
2018-05-10,1028.87,19669.27
