time,price,nav
2017-01-03,672.01,12044.0
2017-01-04,674.7,12044.0
2017-01-05,675.81,12214.0
2017-01-06,679.8,12214.0
2017-01-09,682.57,12214.0
2017-01-10,681.07,12211.0
2017-01-11,687.16,12211.0
2017-01-12,686.96,12301.0
2017-01-13,685.06,12301.0
2017-01-16,677.94,12301.0
2017-01-17,684.71,12194.0
2017-01-18,683.28,12194.0
2017-01-19,682.31,12103.0
2017-01-20,686.26,12103.0
2017-01-23,687.15,12103.0
2017-01-24,691.36,12101.0
2017-01-25,697.28,12101.0
2017-02-02,703.18,12278.0
2017-02-03,700.35,12278.0
2017-02-06,700.04,12278.0
2017-02-07,701.91,12350.0
2017-02-08,702.04,12350.0
2017-02-09,700.65,12446.0
2017-02-10,703.78,12446.0
2017-02-13,705.9,12446.0
2017-02-14,706.26,12799.0
2017-02-15,711.57,12799.0
2017-02-16,709.35,12824.0
2017-02-17,707.83,12824.0
2017-02-20,710.59,12824.0
2017-02-21,716.55,12752.0
2017-02-22,717.24,12752.0
2017-02-23,716.87,12726.0
2017-02-24,714.47,12726.0
2017-02-27,717.44,12726.0
2017-02-28,710.79,12586.0
2017-02-28,710.79,12510.0
2017-03-01,709.52,12510.0
2017-03-02,707.51,12579.0
2017-03-03,712.62,12579.0
2017-03-06,716.29,12579.0
2017-03-07,716.54,12837.0
2017-03-08,716.6,12837.0
2017-03-09,715.8,12937.0
2017-03-10,712.21,12937.0
2017-03-13,710.17,12937.0
2017-03-14,714.71,12795.0
2017-03-15,713.14,12795.0
2017-03-16,714.92,12728.0
2017-03-17,710.54,12728.0
2017-03-20,715.07,12728.0
2017-03-21,716.18,13063.0
2017-03-22,712.94,13063.0
2017-03-23,719.56,12928.0
2017-03-24,722.14,12928.0
2017-03-27,723.52,12928.0
2017-03-28,719.26,13008.0
2017-03-29,720.47,13008.0
2017-03-30,723.86,12941.0
2017-03-31,722.31,12943.0
2017-04-03,722.38,12943.0
2017-04-04,724.14,12900.0
2017-04-05,723.22,12900.0
2017-04-07,727.95,12900.0
2017-04-10,729.87,12900.0
2017-04-11,731.33,12796.0
2017-04-12,725.58,12796.0
2017-04-13,724.35,12798.0
2017-04-14,718.45,12798.0
2017-04-17,710.83,12798.0
2017-04-18,714.93,12493.0
2017-04-19,716.77,12493.0
2017-04-20,712.66,12610.0
2017-04-21,712.41,12610.0
2017-04-24,709.39,12610.0
