time,price,nav
2017-04-25,707.58,10000.0
2017-04-26,710.04,10000.0
2017-04-27,716.53,10000.0
2017-04-28,717.73,10000.0
2017-05-03,719.54,10000.0
2017-05-04,722.02,10000.0
2017-05-05,720.0,10000.0
2017-05-08,718.86,10000.0
2017-05-09,722.11,10093.0
2017-05-10,724.31,10093.0
2017-05-11,724.99,10093.0
2017-05-12,725.37,10093.0
2017-05-15,725.35,10093.0
2017-05-16,725.03,10165.0
2017-05-17,727.2,10165.0
2017-05-18,726.99,10165.0
2017-05-19,733.82,10165.0
2017-05-22,744.1,10165.0
2017-05-23,740.93,10254.0
2017-05-24,742.74,10254.0
2017-05-25,741.91,10254.0
2017-05-26,743.41,10254.0
2017-05-29,746.25,10254.0
2017-05-30,738.21,10375.0
2017-05-31,737.82,10324.0
2017-06-01,741.8,10324.0
2017-06-02,738.81,10324.0
2017-06-05,743.49,10324.0
2017-06-06,751.31,10386.0
2017-06-07,753.46,10386.0
2017-06-08,750.13,10386.0
2017-06-09,749.72,10386.0
2017-06-12,751.09,10386.0
2017-06-13,756.89,10564.0
2017-06-14,760.77,10564.0
2017-06-15,760.57,10564.0
2017-06-16,761.24,10564.0
2017-06-19,766.83,10564.0
2017-06-20,767.99,10774.0
2017-06-21,767.41,10774.0
2017-06-22,766.3,10774.0
2017-06-23,769.01,10774.0
2017-06-26,772.52,10774.0
2017-06-27,767.51,10943.0
2017-06-28,769.04,10943.0
2017-06-29,771.75,10943.0
2017-06-30,776.47,10967.0
2017-07-03,778.88,10967.0
2017-07-04,775.54,10974.0
2017-07-05,778.32,10974.0
2017-07-06,782.65,10974.0
2017-07-07,775.73,10974.0
2017-07-10,766.56,10974.0
2017-07-11,769.36,10885.0
2017-07-12,774.17,10885.0
2017-07-13,778.3,10885.0
2017-07-14,777.6,10885.0
2017-07-17,768.91,10885.0
2017-07-18,767.49,10788.0
2017-07-19,771.3,10788.0
2017-07-20,768.41,10788.0
2017-07-21,761.86,10788.0
2017-07-24,759.74,10788.0
2017-07-25,767.27,10532.0
2017-07-26,773.88,10532.0
2017-07-27,771.5,10532.0
2017-07-28,777.09,10532.0
2017-07-31,783.55,11005.0
2017-08-01,786.81,11005.0
2017-08-02,786.23,11005.0
2017-08-03,788.49,11005.0
2017-08-04,788.68,11005.0
2017-08-07,792.98,11005.0
2017-08-08,791.57,11075.0
2017-08-09,773.66,11075.0
2017-08-10,773.43,11075.0
2017-08-11,772.08,11075.0
2017-08-14,776.17,11075.0
2017-08-15,771.06,11030.0
2017-08-16,773.57,11030.0
2017-08-17,767.59,11030.0
2017-08-18,768.97,11030.0
2017-08-21,768.79,11030.0
2017-08-22,761.26,10961.0
2017-08-23,765.98,10961.0
2017-08-24,769.77,10961.0
2017-08-25,771.63,10961.0
2017-08-28,777.26,10961.0
2017-08-29,774.03,11127.0
2017-08-30,778.65,11127.0
2017-08-31,782.76,11228.0
2017-09-01,788.73,11228.0
2017-09-05,792.31,11228.0
2017-09-06,793.55,11228.0
2017-09-07,796.72,11228.0
2017-09-08,801.2,11228.0
2017-09-11,797.47,11228.0
2017-09-12,799.94,11020.0
2017-09-13,802.78,11020.0
2017-09-14,806.32,11020.0
2017-09-15,805.82,11020.0
2017-09-18,807.87,11020.0
2017-09-19,805.93,11303.0
2017-09-20,805.86,11303.0
2017-09-21,803.93,11303.0
2017-09-22,807.13,11303.0
2017-09-25,805.58,11303.0
2017-09-26,805.35,11380.0
2017-09-27,803.77,11380.0
2017-09-28,804.82,11380.0
2017-09-29,804.42,11380.0
2017-10-02,802.23,11380.0
2017-10-03,798.0,11304.0
2017-10-04,805.66,11304.0
2017-10-05,805.23,11304.0
2017-10-06,807.8,11304.0
2017-10-09,808.96,11304.0
2017-10-10,810.65,11405.0
2017-10-11,813.95,11405.0
2017-10-12,815.87,11405.0
2017-10-13,820.95,11405.0
2017-10-16,819.43,11405.0
2017-10-17,828.29,11498.0
2017-10-18,827.72,11498.0
2017-10-19,828.93,11498.0
2017-10-20,826.84,11498.0
2017-10-23,820.04,11498.0
2017-10-24,825.24,11156.0
2017-10-25,830.69,11156.0
2017-10-26,830.11,11156.0
2017-10-27,840.37,11156.0
2017-10-30,845.2,11156.0
2017-10-31,837.28,11172.0
2017-10-31,837.28,11083.0
2017-11-01,842.71,11083.0
2017-11-02,833.09,11083.0
2017-11-03,843.73,11083.0
2017-11-06,849.09,11083.0
2017-11-07,850.33,11126.0
2017-11-08,859.7,11126.0
2017-11-09,860.4,11126.0
2017-11-10,868.21,11126.0
2017-11-13,879.34,11126.0
2017-11-14,880.9,11247.0
2017-11-15,882.59,11247.0
2017-11-16,892.8,11247.0
2017-11-17,890.69,11247.0
2017-11-20,903.55,11247.0
2017-11-21,918.3,11584.0
2017-11-22,932.66,11584.0
2017-11-23,933.7,11584.0
2017-11-24,935.57,11584.0
2017-11-27,938.61,11584.0
2017-11-28,941.21,11871.0
2017-11-29,952.14,11871.0
2017-11-30,949.93,12114.0
2017-12-01,960.33,12114.0
2017-12-04,970.02,12114.0
2017-12-05,953.3,12251.0
2017-12-06,947.64,12251.0
2017-12-07,938.65,12251.0
2017-12-08,940.16,12251.0
2017-12-11,917.45,12251.0
2017-12-12,927.25,11704.0
2017-12-13,924.4,11704.0
2017-12-14,935.85,11704.0
2017-12-15,935.16,11704.0
2017-12-18,958.06,11704.0
2017-12-19,951.42,12090.0
2017-12-20,953.51,12090.0
2017-12-21,946.06,12090.0
2017-12-22,952.32,12090.0
2017-12-25,958.31,12090.0
2017-12-26,965.93,12135.0
2017-12-27,968.46,12135.0
2017-12-28,976.72,12135.0
2017-12-29,984.24,12135.0
2018-01-02,995.77,12135.0
2018-01-03,1005.67,12135.0
2018-01-04,1019.75,12135.0
2018-01-05,1012.65,12135.0
2018-01-08,1022.9,12135.0
2018-01-09,1033.56,12802.0
2018-01-10,1038.11,12802.0
2018-01-11,1048.17,12802.0
2018-01-12,1050.11,12802.0
2018-01-15,1063.47,12802.0
2018-01-16,1062.96,13057.0
2018-01-17,1034.69,13057.0
2018-01-18,1050.25,13057.0
2018-01-19,1062.07,13057.0
2018-01-22,1087.42,13057.0
2018-01-25,1104.57,13057.0
2018-01-26,1115.64,13057.0
2018-01-29,1109.8,13057.0
2018-01-30,1110.56,13723.0
2018-01-31,1110.36,13833.0
2018-02-01,1099.67,13833.0
2018-02-02,1105.04,13833.0
2018-02-05,1048.71,13833.0
2018-02-06,1011.6,13149.0
2018-02-07,1040.55,13149.0
2018-02-08,1023.25,13149.0
2018-02-09,1003.94,13149.0
2018-02-12,1041.79,13149.0
2018-02-13,1059.73,13306.0
2018-02-21,1087.15,13306.0
2018-02-22,1076.03,13306.0
2018-02-23,1102.85,13306.0
2018-02-26,1114.53,13306.0
2018-02-27,1119.61,13860.0
2018-02-28,1121.54,14092.0
2018-03-01,1115.79,14092.0
2018-03-02,1121.21,14092.0
2018-03-05,1093.48,14092.0
2018-03-06,1120.29,13993.0
2018-03-07,1112.26,13993.0
2018-03-08,1124.15,13993.0
2018-03-09,1123.41,13993.0
2018-03-12,1126.29,13993.0
2018-03-13,1133.31,14127.0
2018-03-14,1138.09,14127.0
2018-03-15,1138.76,14127.0
2018-03-16,1150.19,14127.0
2018-03-19,1159.22,14127.0
2018-03-20,1159.39,14377.0
2018-03-21,1169.36,14377.0
2018-03-22,1172.36,14377.0
2018-03-23,1153.59,14377.0
2018-03-26,1171.22,14377.0
2018-03-27,1171.73,14316.0
2018-03-28,1172.24,14316.0
2018-03-29,1167.03,14316.0
2018-03-30,1174.46,14316.0
2018-04-02,1196.61,14316.0
2018-04-03,1188.29,14713.0
2018-04-04,1191.54,14713.0
2018-04-05,1193.17,14713.0
2018-04-06,1199.96,14713.0
2018-04-09,1204.33,14713.0
2018-04-10,1198.12,14862.0
2018-04-11,1167.11,14862.0
2018-04-12,1173.02,14862.0
2018-04-13,1157.14,14862.0
2018-04-16,1148.49,14862.0
2018-04-17,1153.28,14423.0
2018-04-18,1138.53,14423.0
2018-04-19,1094.63,14423.0
2018-04-20,1119.86,14423.0
2018-04-23,1076.78,14423.0
2018-04-24,1080.74,13671.0
2018-04-26,1044.86,13671.0
2018-04-27,1050.26,13671.0
2018-05-02,1029.08,13671.0
2018-05-03,1026.46,13671.0
2018-05-04,1026.8,13671.0
2018-05-07,1062.26,13671.0
2018-05-08,1060.45,13653.0
2018-05-09,1056.97,13653.0
2018-05-10,1028.87,13653.0
2018-05-11,1044.85,13653.0
2018-05-14,1066.98,13653.0
2018-05-15,1073.5,13732.0
2018-05-16,1054.62,13732.0
2018-05-17,1030.64,13732.0
2018-05-18,1040.54,13732.0
2018-05-21,1014.98,13732.0
2018-05-22,985.91,13564.0
2018-05-23,988.94,13564.0
2018-05-24,985.92,13564.0
2018-05-25,963.9,13564.0
2018-05-28,931.75,13564.0
2018-05-29,952.18,12564.0
2018-05-30,948.5,12564.0
2018-05-31,971.25,13087.0
2018-06-01,992.87,13087.0
2018-06-04,1013.78,13087.0
2018-06-05,1022.74,13392.0
2018-06-06,1034.5,13392.0
2018-06-07,1036.69,13392.0
2018-06-08,1039.01,13392.0
2018-06-11,1039.02,13392.0
2018-06-12,1020.76,13740.0
2018-06-13,1030.53,13740.0
2018-06-14,1015.72,13740.0
2018-06-15,1016.51,13740.0
2018-06-18,987.34,13740.0
2018-06-19,962.16,13076.0
2018-06-20,980.95,13076.0
2018-06-21,969.4,13076.0
2018-06-22,983.17,13076.0
2018-06-25,990.52,13076.0
2018-06-26,983.02,12995.0
2018-06-27,968.91,12995.0
2018-06-28,957.35,12995.0
2018-06-29,960.78,12995.0
2018-07-02,947.15,12995.0
2018-07-03,906.01,11978.0
2018-07-04,914.99,11978.0
2018-07-05,899.4,11978.0
2018-07-06,917.51,11978.0
2018-07-09,915.12,11978.0
2018-07-10,911.12,11730.0
2018-07-11,893.16,11730.0
2018-07-12,898.51,11730.0
2018-07-13,909.72,11730.0
2018-07-16,911.11,11730.0
2018-07-17,921.27,11809.0
2018-07-18,942.39,11809.0
2018-07-19,943.97,11809.0
2018-07-20,933.39,11809.0
2018-07-23,936.74,11809.0
2018-07-24,934.08,11997.0
2018-07-25,927.58,11997.0
2018-07-26,930.16,11997.0
2018-07-27,935.52,11997.0
2018-07-30,949.73,11997.0
2018-07-31,956.39,12163.0
2018-07-31,956.39,12207.0
2018-08-01,952.77,12207.0
2018-08-02,953.55,12207.0
2018-08-03,959.6,12207.0
2018-08-06,960.23,12207.0
2018-08-07,956.79,12035.0
2018-08-08,966.27,12035.0
2018-08-09,963.5,12035.0
2018-08-10,968.47,12035.0
2018-08-13,978.04,12035.0
2018-08-14,978.27,12311.0
2018-08-15,961.37,12311.0
2018-08-16,964.28,12311.0
2018-08-17,968.88,12311.0
2018-08-20,969.62,12311.0
2018-08-21,979.21,12225.0
2018-08-22,982.15,12225.0
2018-08-23,987.36,12225.0
2018-08-24,987.05,12225.0
2018-08-27,991.92,12225.0
2018-08-28,995.19,12462.0
2018-08-29,988.17,12462.0
2018-08-30,998.07,12462.0
2018-08-31,989.54,12518.0
2018-09-04,975.94,12518.0
2018-09-05,968.44,12518.0
2018-09-06,958.19,12518.0
2018-09-07,968.9,12518.0
2018-09-10,970.34,12518.0
2018-09-11,985.06,12192.0
2018-09-12,987.01,12192.0
2018-09-13,987.95,12192.0
2018-09-14,991.34,12192.0
2018-09-17,987.61,12192.0
2018-09-18,993.49,12295.0
2018-09-19,995.54,12295.0
2018-09-20,1004.74,12295.0
2018-09-21,1002.97,12295.0
2018-09-24,1011.29,12295.0
2018-09-25,1010.74,12713.0
2018-09-26,1009.61,12713.0
2018-09-27,1015.37,12713.0
2018-09-28,1017.13,12713.0
2018-10-01,1012.88,12713.0
2018-10-02,1018.79,12739.0
2018-10-03,1020.4,12739.0
2018-10-04,1023.62,12739.0
2018-10-05,1008.39,12739.0
2018-10-08,996.12,12739.0
2018-10-09,996.19,12764.0
2018-10-10,993.96,12764.0
2018-10-11,945.89,12764.0
2018-10-12,970.08,12764.0
2018-10-15,951.64,12764.0
2018-10-16,963.37,12192.0
2018-10-17,971.6,12192.0
2018-10-18,963.47,12192.0
2018-10-19,958.36,12192.0
2018-10-22,953.51,12192.0
2018-10-23,939.68,12098.0
2018-10-24,922.73,12098.0
2018-10-25,910.17,12098.0
2018-10-26,900.82,12098.0
2018-10-29,888.82,12098.0
2018-10-30,888.69,11350.0
2018-10-31,914.76,11718.0
2018-11-01,907.96,11718.0
2018-11-02,924.86,11718.0
2018-11-05,925.53,11718.0
2018-11-06,922.05,11836.0
2018-11-07,922.16,11836.0
2018-11-08,926.28,11836.0
2018-11-09,914.29,11836.0
2018-11-12,918.12,11836.0
2018-11-13,905.38,11583.0
2018-11-14,900.93,11583.0
2018-11-15,897.15,11583.0
2018-11-16,898.19,11583.0
2018-11-19,916.06,11583.0
2018-11-20,919.02,11702.0
2018-11-21,922.56,11702.0
2018-11-22,924.42,11702.0
2018-11-23,917.97,11702.0
2018-11-26,921.03,11702.0
2018-11-27,923.12,11621.0
2018-11-28,930.2,11621.0
2018-11-29,926.79,11621.0
2018-11-30,926.54,11661.0
2018-12-03,951.59,11661.0
2018-12-04,958.84,11985.0
2018-12-05,957.14,11985.0
2018-12-06,954.82,11985.0
2018-12-07,958.59,11985.0
2018-12-10,955.89,11985.0
2018-12-11,954.58,11933.0
2018-12-12,961.28,11933.0
2018-12-13,960.25,11933.0
2018-12-14,952.04,11933.0
2018-12-17,933.65,11933.0
2018-12-18,927.25,11691.0
2018-12-19,919.24,11691.0
2018-12-20,918.24,11691.0
2018-12-21,912.26,11691.0
2018-12-24,908.56,11691.0
2018-12-25,897.94,11467.0
2018-12-26,891.75,11467.0
2018-12-27,900.81,11467.0
2018-12-28,892.54,11467.0
2019-01-02,891.75,11467.0
2019-01-03,878.22,11467.0
2019-01-04,880.9,11467.0
2019-01-07,889.64,11467.0
2019-01-08,887.44,11165.0
2019-01-09,896.99,11165.0
2019-01-10,898.3,11165.0
2019-01-11,902.71,11165.0
2019-01-14,901.8,11165.0
2019-01-15,909.68,11205.0
2019-01-16,908.7,11205.0
2019-01-17,901.89,11205.0
2019-01-18,902.3,11205.0
2019-01-21,911.05,11205.0
2019-01-22,906.55,11327.0
2019-01-23,908.18,11327.0
2019-01-24,908.79,11327.0
2019-01-25,908.88,11327.0
2019-01-28,912.18,11327.0
2019-01-29,915.93,11265.0
2019-01-30,915.84,11265.0
2019-01-31,910.65,11350.0
2019-02-01,908.67,11350.0
2019-02-11,926.1,11350.0
2019-02-12,937.54,11547.0
2019-02-13,945.25,11547.0
2019-02-14,952.34,11547.0
2019-02-15,950.89,11547.0
2019-02-18,961.3,11547.0
2019-02-19,964.35,11687.0
2019-02-20,970.58,11687.0
2019-02-21,987.57,11687.0
2019-02-22,988.91,11687.0
2019-02-25,994.43,11687.0
2019-02-26,987.06,11837.0
2019-02-27,990.27,11837.0
2019-02-28,965.47,11662.0
2019-03-01,979.63,11662.0
2019-03-04,993.99,11662.0
2019-03-05,992.45,11867.0
2019-03-06,994.49,11867.0
2019-03-07,994.03,11867.0
2019-03-08,985.25,11867.0
2019-03-11,984.6,11867.0
2019-03-12,1001.32,11821.0
2019-03-13,1005.41,11821.0
2019-03-14,1008.44,11821.0
2019-03-15,1004.12,11821.0
2019-03-18,1011.86,11821.0
2019-03-19,1006.59,12138.0
2019-03-20,1002.3,12138.0
2019-03-21,981.78,12138.0
2019-03-22,988.71,12138.0
2019-03-25,970.07,12138.0
2019-03-26,969.79,11686.0
2019-03-27,975.91,11686.0
2019-03-28,982.98,11686.0
2019-03-29,980.76,11686.0
2019-04-01,988.53,11686.0
2019-04-02,985.81,11882.0
2019-04-03,984.46,11882.0
2019-04-04,986.91,11882.0
2019-04-05,989.26,11882.0
2019-04-08,997.56,11882.0
2019-04-09,988.48,12042.0
2019-04-10,981.91,12042.0
2019-04-11,985.95,12042.0
2019-04-12,982.9,12042.0
2019-04-16,977.17,11927.0
2019-04-17,972.1,11927.0
2019-04-18,962.3,11927.0
2019-04-19,966.21,11927.0
2019-04-22,965.86,11927.0
2019-04-23,968.0,11733.0
2019-04-24,976.92,11733.0
2019-04-25,974.13,11733.0
2019-04-26,979.64,11733.0
2019-05-02,978.5,11733.0
2019-05-03,974.14,11733.0
2019-05-06,957.97,11733.0
2019-05-07,957.56,11800.0
2019-05-08,951.22,11800.0
2019-05-09,947.01,11800.0
2019-05-10,952.55,11800.0
2019-05-13,958.54,11800.0
2019-05-14,965.34,11847.0
2019-05-15,975.64,11847.0
2019-05-16,975.69,11847.0
2019-05-17,976.48,11847.0
2019-05-20,987.13,11847.0
2019-05-21,986.29,13015.0
2019-05-22,983.78,13015.0
2019-05-23,982.71,13015.0
2019-05-24,970.03,13015.0
2019-05-27,975.14,13015.0
2019-05-28,972.0,13746.0
2019-05-29,971.54,13746.0
2019-05-30,969.34,13746.0
2019-05-31,959.88,13531.0
2019-06-03,946.47,13531.0
2019-06-04,951.16,13420.0
2019-06-05,951.41,13420.0
2019-06-06,948.21,13420.0
2019-06-07,958.28,13420.0
2019-06-10,962.9,13420.0
2019-06-11,962.07,11921.0
2019-06-12,954.17,11921.0
2019-06-13,950.08,11921.0
2019-06-14,953.61,11921.0
2019-06-17,946.95,11921.0
2019-06-18,944.01,11775.0
2019-06-19,949.69,11775.0
2019-06-20,959.18,11775.0
2019-06-21,959.2,11775.0
2019-06-24,962.85,11775.0
2019-06-25,960.13,11975.0
2019-06-26,959.13,11975.0
2019-06-27,943.11,11975.0
2019-06-28,949.94,11975.0
2019-07-01,965.61,11975.0
2019-07-02,961.98,12074.0
2019-07-03,960.39,12074.0
2019-07-04,973.04,12074.0
2019-07-05,975.34,12074.0
2019-07-08,966.35,12074.0
2019-07-09,969.05,12034.0
2019-07-10,973.65,12034.0
2019-07-11,978.63,12034.0
2019-07-12,975.4,12034.0
2019-07-15,972.53,12034.0
2019-07-16,982.11,12224.0
2019-07-17,982.57,12224.0
2019-07-18,976.05,12224.0
2019-07-19,982.34,12224.0
2019-07-22,982.04,12224.0
2019-07-23,989.46,12337.0
2019-07-24,988.41,12337.0
2019-07-25,994.95,12337.0
2019-07-26,993.35,12337.0
2019-07-29,997.94,12337.0
2019-07-30,986.02,12297.0
2019-07-31,991.66,12221.0
2019-08-01,997.39,12221.0
2019-08-02,991.1,12221.0
2019-08-05,973.15,12221.0
2019-08-06,964.61,12276.0
2019-08-07,965.93,12276.0
2019-08-08,975.24,12276.0
2019-08-09,974.34,12276.0
2019-08-12,975.31,12276.0
2019-08-13,966.83,12602.0
2019-08-14,968.91,12602.0
2019-08-15,979.38,12602.0
2019-08-16,980.0,12602.0
2019-08-19,981.03,12602.0
2019-08-20,984.67,12697.0
2019-08-21,994.38,12697.0
2019-08-22,997.26,12697.0
